PointsCount EstimatedArea RelativeError
100 0.4375 0.5368
600 0.927083 0.018458
1100 0.857955 0.0916475
1600 0.957031 0.0132492
2100 1.0119 0.0713461
2600 0.942308 0.00233928
3100 0.899194 0.047986
3600 0.994792 0.0532277
4100 0.905488 0.041322
4600 0.921196 0.0246915
5100 0.947304 0.00295043
5600 0.930804 0.0145192
6100 0.966189 0.0229444
6600 0.941288 0.003419
7100 0.954225 0.0102784
7600 0.939145 0.00568804
8100 0.89892 0.0482759
8600 0.944767 0.000264956
9100 0.923764 0.0219725
9600 0.930339 0.0150115
10100 0.964109 0.0207426
10600 0.943396 0.00118681
11100 0.918919 0.027102
11600 0.933728 0.0114225
12100 0.927169 0.0183668
12600 0.96379 0.0204046
13100 0.971374 0.0284345
13600 0.93796 0.00694284
14100 0.91578 0.0304251
14600 0.941781 0.0028971
15100 0.937914 0.00699117
15600 0.961538 0.0180211
16100 0.914208 0.0320895
16600 0.965361 0.0220687
17100 0.963816 0.0204322
17600 0.924361 0.0213404
18100 0.944061 0.000483223
18600 0.926075 0.0195252
19100 0.968914 0.0258295
19600 0.979592 0.037135
20100 0.970149 0.0271377
20600 0.93841 0.00646573
21100 0.956754 0.0129552
21600 0.92853 0.0169262
22100 0.93552 0.00952532
22600 0.957688 0.0139446
23100 0.931006 0.0143043
23600 0.934322 0.010794
24100 0.933351 0.0118225
24600 0.951728 0.00763401
25100 0.947211 0.00285222
25600 0.930176 0.0151838
26100 0.948994 0.00474006
26600 0.952538 0.00849154
27100 0.957334 0.0135696
27600 0.945652 0.00120166
28100 0.940836 0.00389711
28600 0.956949 0.0131624
29100 0.944373 0.000152812
29600 0.947002 0.00263045
30100 0.957434 0.0136751
30600 0.94567 0.00122046
31100 0.940113 0.00466338
31600 0.938884 0.00596357
32100 0.93419 0.0109338
32600 0.963574 0.0201758
33100 0.944864 0.000367238
33600 0.953125 0.00911345
34100 0.935117 0.00995205
34600 0.921785 0.0240679
35100 0.948184 0.00388196
35600 0.927844 0.0176525
36100 0.942694 0.00193038
36600 0.942964 0.00164391
37100 0.93969 0.00511072
37600 0.940658 0.00408562
38100 0.949639 0.00542279
38600 0.946244 0.00182775
39100 0.96867 0.0255717
39600 0.93971 0.00509
40100 0.94841 0.00412172
40600 0.944581 6.78599e-05
41100 0.943583 0.000989353
41600 0.94396 0.00058956
42100 0.949525 0.00530192
42600 0.951585 0.00748247
43100 0.93402 0.0111141
43600 0.93879 0.00606347
44100 0.94161 0.00307798
44600 0.95838 0.0146772
45100 0.95801 0.0142854
45600 0.941201 0.00351135
46100 0.958785 0.0151062
46600 0.935891 0.00913337
47100 0.946523 0.00212401
47600 0.950236 0.00605511
48100 0.926715 0.0188477
48600 0.938915 0.00593168
49100 0.939282 0.00554263
49600 0.938508 0.00636211
50100 0.936627 0.00835394
50600 0.949358 0.00512486
51100 0.932975 0.0122207
51600 0.937016 0.00794235
52100 0.956094 0.0122569
52600 0.951046 0.00691194
53100 0.939266 0.00556014
53600 0.951143 0.00701474
54100 0.952518 0.00847131
54600 0.931433 0.0138526
55100 0.939882 0.00490743
55600 0.947617 0.0032818
56100 0.943293 0.00129586
56600 0.93485 0.0102352
57100 0.962128 0.0186451
57600 0.947049 0.00268013
58100 0.946751 0.00236534
58600 0.944113 0.000428322
59100 0.933058 0.0121319
59600 0.941275 0.00343246
60100 0.952475 0.00842532
60600 0.94967 0.00545547
61100 0.933101 0.0120863
61600 0.95414 0.0101877
